TICKER,LOCAL PRICE,SHARES OUTSTANDING,MARKET CAP
MMM,165.3,"604,400,000.00","99,907,320,000.00"
T,36.79,"6,152,000,000.00","226,332,080,000.00"
ABBV,55.78,"1,628,542,000.00","90,840,072,760.00"
ABT,39.24,"1,469,995,000.00","57,682,603,800.00"
ACN,116.24,"622,542,000.00","72,364,282,080.00"
AGN,208.94,"395,952,000.00","82,730,210,880.00"
ALL,67.9,"371,461,000.00","25,222,201,900.00"
GOOGL,809.9,"294,844,000.00","238,794,155,600.00"
GOOG,784.54,"343,604,000.00","269,571,082,160.00"
MO,66.12,"1,953,855,000.00","129,188,892,600.00"
AMZN,789.82,"474,074,000.00","374,433,126,680.00"
AXP,66.42,"923,781,000.00","61,357,534,020.00"
AIG,61.7,"1,070,660,000.00","66,059,722,000.00"
AMGN,141.16,"748,361,000.00","105,638,638,760.00"
AAPL,113.54,"5,388,443,000.00","611,803,818,220.00"
BAC,16.5,"10,204,799,000.00","168,379,183,500.00"
BIIB,280.18,"219,121,000.00","61,393,321,780.00"
BLK,341.24,"162,677,000.00","55,511,899,480.00"
BA,142.43,"623,826,000.00","88,851,537,180.00"
BMY,50.91,"1,670,859,000.00","85,063,431,690.00"
CVS,84.1,"1,066,215,000.00","89,668,681,500.00"
COF,74.04,"506,077,000.00","37,469,941,080.00"
CAT,83.46,"584,231,000.00","48,759,919,260.00"
CELG,102.18,"775,115,000.00","79,201,250,700.00"
CVX,104.75,"1,886,520,000.00","197,612,970,000.00"
CSCO,30.68,"5,029,712,000.00","154,311,564,160.00"
C,49.15,"2,905,374,000.00","142,799,132,100.00"
KO,42.4,"4,316,029,000.00","182,999,629,600.00"
CL,71.36,"891,493,000.00","63,616,940,480.00"
CMCSA,61.82,"2,402,381,000.00","148,515,193,420.00"
COP,43.45,"1,238,505,000.00","53,813,042,250.00"
COST,147.87,"438,066,000.00","64,776,819,420.00"
DHR,78.55,"690,538,000.00","54,241,759,900.00"
DOW,53.81,"1,126,830,000.00","60,634,722,300.00"
DUK,80.02,"688,934,000.00","55,128,498,680.00"
DD,68.79,"874,325,000.00","60,144,816,750.00"
EMR,50.68,"643,537,000.00","32,614,455,160.00"
EXC,34.07,"922,872,000.00","31,442,249,040.00"
XOM,83.32,"4,146,650,000.00","345,498,878,000.00"
FB,130.99,"2,322,959,000.00","304,284,399,410.00"
FDX,174.32,"265,524,000.00","46,286,143,680.00"
F,11.74,"3,902,389,000.00","45,814,046,860.00"
GD,150.74,"305,279,000.00","46,017,756,460.00"
GE,29.1,"8,961,233,000.00","260,771,880,300.00"
GM,31.6,"1,561,922,000.00","49,356,735,200.00"
GILD,73.63,"1,319,658,000.00","97,166,418,540.00"
GS,178.24,"405,462,000.00","72,269,546,880.00"
HAL,46,"861,103,000.00","39,610,738,000.00"
HD,122.01,"1,235,574,000.00","150,752,383,740.00"
HON,109.68,"760,875,000.00","83,452,770,000.00"
INTC,34.87,"4,731,000,000.00","164,969,970,000.00"
IBM,153.69,"955,844,000.00","146,903,664,360.00"
JPM,69.26,"3,611,982,000.00","250,165,873,320.00"
JNJ,115.99,"2,735,877,000.00","317,334,373,230.00"
KMI,20.43,"2,232,323,000.00","45,606,358,890.00"
LLY,73.84,"1,103,843,000.00","81,507,767,120.00"
LMT,246.38,"293,536,000.00","72,321,399,680.00"
LOW,66.65,"874,659,000.00","58,296,022,350.00"
MA,107.02,"1,077,451,000.00","115,308,806,020.00"
MCD,112.57,"853,362,000.00","96,062,960,340.00"
MDT,82.02,"1,381,936,000.00","113,346,390,720.00"
MRK,58.72,"2,765,208,000.00","162,373,013,760.00"
MET,46.96,"1,098,872,000.00","51,603,029,120.00"
MSFT,59.92,"7,792,516,000.00","466,927,558,720.00"
MDLZ,44.94,"1,555,535,000.00","69,905,742,900.00"
MON,100.77,"437,576,000.00","44,094,533,520.00"
MS,33.57,"1,911,809,000.00","64,179,428,130.00"
NKE,50.18,"1,348,367,000.00","67,661,056,060.00"
NEE,128,"467,073,000.00","59,785,344,000.00"
OXY,72.91,"763,926,000.00","55,697,844,660.00"
ORCL,38.42,"4,122,730,000.00","158,395,286,600.00"
PYPL,41.66,"1,206,918,000.00","50,280,203,880.00"
PEP,107.2,"1,439,158,000.00","154,277,737,600.00"
PFE,31.71,"6,065,652,000.00","192,341,824,920.00"
PM,96.44,"1,551,327,000.00","149,609,975,880.00"
PG,86.8,"2,668,751,000.00","231,647,586,800.00"
QCOM,68.72,"1,473,648,000.00","101,269,090,560.00"
RTN,136.61,"295,095,000.00","40,312,927,950.00"
SLB,78.23,"1,390,694,000.00","108,793,991,620.00"
SPG,185.96,"314,224,000.00","58,433,095,040.00"
SO,51.57,"978,706,000.00","50,471,868,420.00"
SBUX,53.07,"1,466,600,000.00","77,832,462,000.00"
TGT,68.73,"574,865,000.00","39,510,471,450.00"
TXN,70.85,"1,003,210,000.00","71,077,428,500.00"
BK,43.27,"1,067,674,000.00","46,198,253,980.00"
KHC,88.95,"1,215,955,000.00","108,159,197,250.00"
PCLN,"1,474.23","49,639,000.00","73,179,302,970.00"
TWX,88.99,"777,842,000.00","69,220,159,580.00"
FOXA,26.27,"1,064,007,000.00","27,951,463,890.00"
FOX,26.39,"798,521,000.00","21,072,969,190.00"
USB,44.76,"1,711,534,000.00","76,608,261,840.00"
UNP,88.18,"832,914,000.00","73,446,356,520.00"
UPS,107.76,"691,272,000.00","74,491,470,720.00"
UTX,102.2,"836,927,000.00","85,533,939,400.00"
UNH,141.33,"952,391,000.00","134,601,420,030.00"
VZ,48.1,"4,076,302,000.00","196,070,126,200.00"
V,82.51,"1,886,434,000.00","155,649,669,340.00"
WMT,70.02,"3,093,258,000.00","216,589,925,160.00"
WBA,82.73,"1,082,317,000.00","89,540,085,410.00"
DIS,92.69,"1,607,101,000.00","148,962,191,690.00"
WFC,46.01,"5,045,547,000.00","232,145,617,470.00"
